abcnews.go.com,
bbc.co.uk/worldserviceradio,
cnbc.com,
drudgereport.com,
espn.com,
forbes.com,
theguardian.com,
haaretz.com,
insider.com,
jpost.com,
kyodonews.net,
latimes.com,
middleeasteye.net,
nytimes.com,
ourworldindata.org,	
politico.com,
rollingstone.com,	
slate.com,
tass.com,
upi.com,
theverge.com,
washingtonpost.com,
xinhuanet.com,
finance.yahoo.com,
axios.com,
billboard.com,
c-span.org,
defensenews.com,
economist.com,
freep.com,
theglobeandmail.com,
thehill.com,
interfax.com,
https://logec.repec.org/scripts/itemstat.pf?type=redif-article;sortby=3d,
technologyreview.com,
nytimes.com/wire/,
pitchfork.com,	
reuters.com,	
news.sky.com,
https://www.tapology.com/news,
usatoday.com,
vox.com	wsj.com,
sports.yahoo.com,	
theatlantic.com,
bostonglobe.com,
chicagotribune.com,
dailysabah.com,	
ft.com,
huffpost.com,
independent.co.uk,
themoscowtimes.com,
newyorker.com,
propublica.org,
rand.org,
sfchronicle.com,
news.un.org,
vogue.com,
who.int,
yonhapnews.co.kr,
apnews.com,
bostonherald.com,
csmonitor.com,
dw.com,
fivethirtyeight.com,
harpers.org,
https://www.imdb.com,
npr.org,
politifact.com,
spin.com,
worldbank.org,
https://news.ycombinator.com/,
https://player.streamguys.com/apnews/sgplayer/player.php,
bloomberg.com,
cbsnews.com,
foxnews.com,
hypebeast.com,
nypost.com,
https://www.pokernews.com/,
sciencemag.org,
wired.com,		
aljazeera.com,
barrons.com,
cnn.com,
foreignaffairs.com,
nhk.or.jp/nhkworld/,
scientificamerican.com,
arstechnica.com,
brookings.edu,
coindesk.com,
fred.stlouisfed.org,
nsarchive.gwu.edu,
scmp.com,
theathletic.com,
boxofficemojo.com,
cfr.org,
france24.com,
nature.com,
straitstimes.com,							
cjr.org,
foreignpolicy.com,
nationalgeographic.com,
snopes.com,
https://www.cyclingweekly.com,
factcheck.org,	
niemanlab.org,
time.com												
